question,correct_answer,Ten_Qs.thisRepN,Ten_Qs.thisTrialN,Ten_Qs.thisN,Ten_Qs.thisIndex,thisRow.t,notes,Open_screen.started,OpenMessage.started,Welcome_key.started,Open_screen.stopped,Welcome_key.keys,Welcome_key.rt,Welcome_key.duration,Questions.started,textQuestions.started,key_resp.started,Questions.stopped,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,Goodbye_screen.started,Goodbye.started,Goodbye_message.started,Goodbye_screen.stopped,Goodbye_message.keys,Goodbye_message.rt,Goodbye_message.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,0.013162166927941144,0.022488416987471282,0.022488416987471282,0.6661863749613985,space,0.5979277080623433,None,,,,,,,,,,,,,,,,Data_6,001,2024-02-01_16h30.12.210,First_exp,2023.2.3,121.08088861193716,2024-02-01 16h30.20.350773 +0100,
"Which function creates an error message in R?
A. stop()
B. warning()
C. return()",a,0,0,0,8,0.707860208931379,,,,,,,,,0.6804178749443963,0.707860208931379,0.707860208931379,2.7842794589232653,a,1,2.0708367499755695,None,,,,,,,,Data_6,001,2024-02-01_16h30.12.210,First_exp,2023.2.3,121.08088861193716,2024-02-01 16h30.20.350773 +0100,
"Which is the correct function that removes all objects from you R environment?
A. rm(list=ls())
B. rm.all()
C. na.rm(list=ls())",a,0,1,1,6,2.8094984169583768,,,,,,,,,2.785441583953798,2.8094984169583768,2.8094984169583768,3.5750905419699848,a,1,0.7585182499606162,None,,,,,,,,Data_6,001,2024-02-01_16h30.12.210,First_exp,2023.2.3,121.08088861193716,2024-02-01 16h30.20.350773 +0100,
"Which function creates a scatter plot of given data?
A. geom_point()
B. geom_scatter()
C. geom_plot",a,0,2,2,1,3.6100940839387476,,,,,,,,,3.5758902499219403,3.6100940839387476,3.6100940839387476,4.5346271669259295,a,1,0.9148084999760613,None,,,,,,,,Data_6,001,2024-02-01_16h30.12.210,First_exp,2023.2.3,121.08088861193716,2024-02-01 16h30.20.350773 +0100,
"What is the limit of characters per line in R according to tidyverse style guide?
A. 100
B. 90
C. 80",c,0,3,3,3,4.555900375009514,,,,,,,,,4.535275834030472,4.555900375009514,4.555900375009514,5.8585782499285415,c,1,1.2970152919879183,None,,,,,,,,Data_6,001,2024-02-01_16h30.12.210,First_exp,2023.2.3,121.08088861193716,2024-02-01 16h30.20.350773 +0100,
"Which type of file is best to save good quality plots in R?
A. .png
B. .jpeg
C. .GIF",b,0,4,4,2,5.881093541975133,,,,,,,,,5.859407666954212,5.881093541975133,5.881093541975133,6.910430916934274,b,1,1.0206610839813948,None,,,,,,,,Data_6,001,2024-02-01_16h30.12.210,First_exp,2023.2.3,121.08088861193716,2024-02-01 16h30.20.350773 +0100,
"Which function returns the maximum value of a vector?
A. which.max()
B. max()
C. pmax()",a,0,5,5,9,6.93020829197485,,,,,,,,,6.911279416992329,6.93020829197485,6.93020829197485,7.8413869589567184,b,0,0.9080331660807133,None,,,,,,,,Data_6,001,2024-02-01_16h30.12.210,First_exp,2023.2.3,121.08088861193716,2024-02-01 16h30.20.350773 +0100,
"Which package in R contains functions that check for style in your code?
A. tidyr
B. styler
C. dplyr",b,0,6,6,4,7.861200375016779,,,,,,,,,7.842195749981329,7.861200375016779,7.861200375016779,8.77528316702228,b,1,0.9125198340043426,None,,,,,,,,Data_6,001,2024-02-01_16h30.12.210,First_exp,2023.2.3,121.08088861193716,2024-02-01 16h30.20.350773 +0100,
"Which object name does not adhere to good style in R?
A. my_function
B. myFunction
C.  My_Function",a,0,7,7,5,8.797271959017962,,,,,,,,,8.776099917013198,8.797271959017962,8.797271959017962,10.441954583977349,c,0,1.637451917049475,None,,,,,,,,Data_6,001,2024-02-01_16h30.12.210,First_exp,2023.2.3,121.08088861193716,2024-02-01 16h30.20.350773 +0100,
"What is the function in r that checks whether given a set of logical vectors, at least of one of the values is true? 
A. any()
B. all()
C. sum()",a,0,8,8,0,10.46744412498083,,,,,,,,,10.442936584004201,10.46744412498083,10.46744412498083,11.924856917001307,a,1,1.451064708060585,None,,,,,,,,Data_6,001,2024-02-01_16h30.12.210,First_exp,2023.2.3,121.08088861193716,2024-02-01 16h30.20.350773 +0100,
"What is the correct way to install the package dplyr in R?
A. install.packages(dplyr)
B. install.packages("dplyr")
C. install.packages ("dplyr")",b,0,9,9,7,11.949049041955732,,,,,,,,,11.925670834025368,11.949049041955732,11.949049041955732,13.284733542008325,b,1,1.3309425000334159,None,,,,,,,,Data_6,001,2024-02-01_16h30.12.210,First_exp,2023.2.3,121.08088861193716,2024-02-01 16h30.20.350773 +0100,
,,,,,,,,,,,,,,,,,,,,,,,13.285392583929934,13.296422458952293,13.296422458952293,14.417559916968457,space,1.1132609589258209,None,Data_6,001,2024-02-01_16h30.12.210,First_exp,2023.2.3,121.08088861193716,2024-02-01 16h30.20.350773 +0100,
